mbid,artist_mb,artist_lastfm,country_mb,country_lastfm,tags_mb,tags_lastfm,listeners_lastfm,scrobbles_lastfm,ambiguous_artist
8f92558c-2baa-4758-8c38-615519e9deda,The Clash,The Clash,United Kingdom,United Kingdom,rock; punk; punk rock; british; post-punk; new wave; uk; reggae; funk; english; dance-punk; england; classic pop and rock; disco rap,punk; punk rock; british; rock; classic rock,2340643,82664393,FALSE
5f6ab597-f57a-40da-be9e-adad48708203,Dr. Dre,Dr. Dre,United States,United States,hip hop; producer; gangsta rap; pop rap; g-funk; rapper; classic pop and rock; west coast hip hop; hardcore hip hop; instrumental hip hop,Hip-Hop; rap; Gangsta Rap; hip hop; west coast; G-funk; West Coast Rap; gangsta; hiphop; dr dre; 90s; american; Dr. Dre; California; compton; producer; old school; Dre; los angeles; nwa; west coast hip-hop; seen live; Aftermath; Eminem; legend; G Funk; west coast hip hop; USA; rock; rnb; 00s; funk; male vocalists; Snoop Dogg; urban; Rap and Hip-Hop; westcoast; old school rap,2330510,38888220,FALSE
8ef1df30-ae4f-4dbd-9351-1a32b208a01e,Alicia Keys,Alicia Keys,United States,United States,pop; alternative rock; jazz; american; singer; neo-soul; soul; rnb; pianist; pop rap; neo soul; film soundtrack; hip hop rnb and dance hall; r&b; contemporary r&b,soul; rnb; female vocalists; pop; singer-songwriter; Alicia Keys; r&b; piano; Hip-Hop; american; female; seen live; Neo-Soul; r and b; female vocalist; rhythm and blues; jazz; Neo Soul; hip hop; urban; 00s; blues; new york; r'n'b; funk; USA; sexy; smooth; Love; black music; pianist; chillout; alicia; contemporary rnb; beautiful; female artists; diva,2325048,50639370,FALSE
b6b2bb8d-54a9-491f-9607-7b546023b433,Pixies,Pixies,United States,United States,rock; alternative rock; american; punk rock; usa; indie rock; américain; acoustic rock; noise pop; 4ad; rock and indie; surfer music,alternative; indie; rock; alternative rock; indie rock; seen live; punk; Grunge; 80s; post-punk; american; 90s; pixies; college rock; punk rock; boston; 4ad; USA; new wave; experimental; classic rock; noise pop; Post punk; favorites; pop; noise rock; surf rock; indie pop; Garage Rock; Massachusetts; female vocalists; noise; electronic; Progressive rock; Awesome; Recommended; kickasstic; pay attention; male vocalists; Favorite; Lo-Fi; Favourites; folk; the pixies,2319799,101636787,FALSE
8f9d6bb2-dba4-4cca-9967-cc02b9f4820c,Limp Bizkit,Limp Bizkit,United States,United States,rock; alternative rock; rap; metal; american; crossover; hip hop; nu metal; new metal; alternative metal; pop rock; rapcore; rap metal; rap rock; nu-metal; pop and chart; rock rap,Nu Metal; rapcore; rock; alternative; metal; seen live; Nu-metal; alternative rock; hard rock; limp bizkit; alternative metal; crossover; american; comedy; rap metal; rap; Hip-Hop; 90s; hardcore; NOT METAL; rap rock; USA; Officially Shit; mallcore; rap-metal; shit; 00s; punk; Crap; heavy metal; punk rock; hip hop; pop; new metal; Rap-Rock; male vocalists,2304812,73617304,FALSE
40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,The Smiths,The Smiths,United Kingdom,,rock; synthpop; pop; alternative rock; 80s; british; post-punk; new wave; uk; indie rock; indie; alternative; interview; indie pop; indie folk; jangle pop; english; england; manchester; rock and indie; ozymandias_,indie; 80s; post-punk; new wave; alternative,2297719,158731329,FALSE
c33c2065-b1c3-4406-b066-d33a9e2ea71a,OneRepublic,OneRepublic,United States,United States,rock; pop; pop rock; folk pop; rock and indie; united states,rock; pop rock; alternative; alternative rock; indie; pop; american; piano rock; seen live; male vocalists; OneRepublic; indie rock; soft rock; Pop-Rock; USA; 00s; One Republic; easy listening; piano; band; indie pop; Love; amazing; Awesome; favorites; relaxing; acoustic; Colorado; emo,2278164,62846148,FALSE
c98d40fd-f6cf-4b26-883e-eaa515ee2851,The Cranberries,The Cranberries,Ireland,Ireland,rock; pop; alternative rock; irish; ireland; alternative; female vocalists; pop rock; dream pop; eire; classic pop and rock; limerick,rock; alternative; female vocalists; alternative rock; irish,2276320,57877200,FALSE
9e0e2b01-41db-4008-bd8b-988977d6019a,The Police,The Police,United Kingdom,,rock; punk rock; british; post-punk; new wave; uk; power pop; alternative; pop rock; english; england; the police; classic pop and rock; pop/rock; pop reggae,rock; classic rock; 80s; new wave; pop,2274662,44685580,FALSE
90218af4-4d58-4821-8d41-2ee295ebbe21,Kaiser Chiefs,Kaiser Chiefs,United Kingdom,United Kingdom,rock; synthpop; british; uk; indie rock; indie; alternative; britpop; dance-pop; post-punk revival; pop rock; english; rock and indie,indie; indie rock; seen live; britpop; rock; alternative; british; alternative rock; kaiser chiefs; UK; indie pop; pop; 00s; new wave; post-punk; punk; Leeds; brit rock; Britrock; male vocalists; Post-punk revival; england; english; pop rock; electronic; Favourites; punk rock; brit pop,2271009,49817025,FALSE
82eb8936-7bf6-4577-8320-a2639465206d,Jason Mraz,Jason Mraz,United States,United States,rock; pop; alternative rock; american; acoustic rock; adult contemporary; pop rock; classic pop and rock; united states; singer/songwriter,singer-songwriter; acoustic; pop; alternative; rock; seen live; indie; Acoustic Rock; jason mraz; male vocalists; american; pop rock; folk; chill; alternative rock; guitar; chillout; jazz; happy; Love; favorites; indie rock; Mellow; reggae; relax; Mraz; male vocalist; Favorite; soul; USA; easy listening; male; 00s; summer; fun; jason; indie pop; feel good; amazing; Pop-Rock; virginia; funk; smooth; boys with guitars,2267801,62012330,FALSE
b23e8a63-8f47-4882-b55b-df2c92ef400e,Interpol,Interpol,United States,United States,rock; synthpop; alternative rock; american; post-punk; usa; indie rock; new york; américain; post-punk revival; alternative dance; 00s; rock and indie; male vocalists; international pony,indie; indie rock; post-punk; seen live; alternative; rock; alternative rock; interpol; american; Post-punk revival; new york; indie pop; new wave; Post punk; 00s; favorites; NYC; USA; dark; britpop; punk; post-rock; Favourites; pop; electronic; emo; male vocalists; Progressive rock; Love; electronica; chillout; classic rock; Awesome,2266280,119327712,FALSE
9beb62b2-88db-4cea-801e-162cd344ee53,Beastie Boys,Beastie Boys,United States,United States,rock; rap; punk; american; hip-hop; electro; hip hop; usa; funk; hiphop; hardcore punk; américain; alternative hip-hop; ny; rap rock; us; rock and indie; prank calls; east coast hip hop; new york hardcore,Hip-Hop; rap; alternative; hip hop; seen live; rock; punk; old school; new york; 80s; 90s; hardcore punk; american; electronic; Beastie Boys; funk; hardcore; hiphop; rapcore; alternative rap; alternative rock; punk rock; old school rap; rap rock; crossover; alternative hip-hop; indie; USA; NYC; experimental; jazz; electronica; instrumental; Old School Hip Hop; golden age; old school hip-hop; funky; 00s; Brooklyn; pop; trip-hop; East Coast; east coast rap; indie rock,2259629,74172611,FALSE
13655113-cd16-4b43-9dca-cadbbf26ee05,Nelly Furtado,Nelly Furtado,Canada,Canada; Portugal; Spain,rock; pop; folk; canadian; hip hop; pop and chart; hip hop rnb and dance hall; r&b; euro/dance-pop,pop; female vocalists; Canadian; folk; singer-songwriter; rnb; Nelly Furtado; alternative; seen live; dance; female; Hip-Hop; female vocalist; rock; sexy; portuguese; latin; 00s; r&b; hip hop; canada; soul; Nelly; indie; spanish; pop rock; Shakira; electronic; favorites,2258851,43050572,FALSE
fabb37f8-eb2a-4cc1-a72a-b56935bbb72d,Three Days Grace,Three Days Grace,Canada,,alternative rock; alternative metal,alternative rock; rock; alternative; hard rock; metal,2254814,83440335,FALSE
1946a82a-f927-40c2-8235-38d64f50d043,The Chemical Brothers,The Chemical Brothers,United Kingdom,,trip-hop; electronic; big beat; house; british; uk; techno; electronica; breakbeat; tech house; neo-psychedelia; english; trip hop; england; manchester; united kingdom; dance and electronica,electronic; dance; big beat; electronica; techno,2253285,59644501,FALSE
f2eef649-a6d5-4114-afba-e50ab26254d2,Sum 41,Sum 41,Canada,Canada,rock; soundtrack; alternative rock; punk; punk rock; canadian; canada; game; video game; pop punk; vgm; rock and indie; scotty doesn't know,punk rock; punk; pop punk; rock; alternative; seen live; alternative rock; Canadian; sum 41; emo; Pop-punk; skate punk; pop; metal; hard rock; canada; indie; alternative metal; hardcore; melodic hardcore; pop rock; Punk-Rock; indie rock; punkrock,2238775,87667537,FALSE
80cadd99-f560-41e3-babd-16292bbd248a,Marilyn Manson,Marilyn Manson,United States,United States,rock; american; vocalist; songwriter; usa; musician,industrial; industrial metal; metal; rock; alternative; seen live; alternative rock; hard rock; industrial rock; alternative metal; Shock Rock; Gothic; american; marilyn manson; Gothic Metal; heavy metal; glam rock; Gothic Rock; 90s; Nu Metal; male vocalists; goth; electronic; USA; dark; manson; pop; emo; punk; hardcore; 00s; favorites; glam; NOT INDUSTRIAL; goth rock,2235405,122282756,FALSE
4a4ee089-93b1-4470-af9a-6ff575d32704,The Prodigy,The Prodigy,United Kingdom,,rock; electronic; alternative rock; industrial; drum and bass; hardcore; big beat; rave; dance; british; 2005; uk; britannique; techno; electronica; breakbeat; electropunk; english; dance-punk; dance and electronica; breakbeat hardcore; hardcore hip hop; hardcore breaks,electronic; techno; industrial; dance; seen live,2231085,99423869,FALSE
2ddd167f-5b8a-4372-b350-6ad50493bac0,The Fray,The Fray,United States,,pop; seen live; pop and chart; look after you,alternative; rock; piano rock; indie; alternative rock,2220416,53789910,FALSE
020bfbb4-05c3-4c86-b372-17825c262094,Audioslave,Audioslave,United States,United States,rock; alternative rock; american; hard rock; post-grunge; supergroup; alternative metal; rock and indie; fixme label mess,rock; alternative rock; hard rock; alternative; Grunge; seen live; post-grunge; metal; Audioslave; american; Chris Cornell; indie; 00s; alternative metal; Supergroup; indie rock; Progressive rock; heavy metal; classic rock; Post Grunge; punk; favorites; tom morello; USA; male vocalists; funk,2216177,54744897,FALSE
20244d07-534f-4eff-b4d4-930878889970,Taylor Swift,Taylor Swift,United States,United States,pop; country; electropop; female vocals; dance-pop; pop rock; country pop; contemporary country; teen pop; top 40; country-pop; taylor-swift; singer/songwriter; fixme label mess; hp,country; pop; female vocalists; singer-songwriter; acoustic; taylor swift; country pop; american; seen live; female; pop rock; female vocalist; Love; 00s; contemporary country; USA; beautiful; folk; pop country; modern country; guilty pleasure; rock; amazing; taylor; world; chill; chillout; 3; World Music; sunflower; Skitz0rz; uitluisteren artist; holloween skitz0rz; fav888; my dance room; teen pop; <3; cute; Awesome; sweet; synthpop; Favorite; Female country; legend; talented; love story; 2000s; lovely,2203262,171760219,FALSE
b9472588-93f3-4922-a1a2-74082cdf9ce8,Panic! at the Disco,Panic! at the Disco,United States,United States,alternative rock; power pop; pop rock; pop punk; chamber pop; pop and chart; united states; emo-pop; jon walker; ryan ross; spence smith; brendon urie; brent wilson; pop/rock,rock; alternative; emo; pop punk; indie; seen live; alternative rock; punk; indie rock; dance; pop rock; PANIC AT THE DISCO; pop; american; punk rock; electronic; Pop-punk; dance rock; favorites; Panic; male vocalists; Fueled by Ramen; not emo; baroque pop; Pop-Rock; Officially Shit; panic! at the disco; Awesome; lame lame lame lame; Love; indie pop; shit; amazing; gay; hardcore; screamo; 00s; art rock; electronica; USA; power pop; dance punk; wristslitters; powerpop; Favorite; Crap; las vegas; fun; emocore; metal; techno; catchy; cabaret; Decaydance,2199955,111069567,FALSE
8dd98bdc-80ec-4e93-8509-2f46bafc09a7,Calvin Harris,Calvin Harris,United Kingdom,Scotland; United Kingdom,electronic; dance; house; electropop; disco; dance-pop; progressive house; hip house; electro house; dance and electronica; nu-disco; uk hip hop; contemporary r&b; complextro; electro-disco; ibiza trance,electronic; dance; electro; Disco; seen live; electronica; british; Scottish; House; pop; indie; electropop; Electroclash; calvin harris; synthpop; synth pop; UK; male vocalists; electro house; nu-disco; new rave; scotland; 00s; EDM; Progressive House; indie pop; dj; dumfries; indietronica; club; 80s; Electro Pop; alternative; sexy; techno; electro dance; singer-songwriter; party,2195535,73336455,FALSE
f5dfa020-ad69-41cd-b3d4-fd7af0414e94,Wiz Khalifa,Wiz Khalifa,United States,,rap; hip hop; pop rap; hip hop rnb and dance hall,Hip-Hop; rap; underground hip-hop; hip hop; seen live,2193650,44503464,FALSE
87c5dedd-371d-4a53-9f7f-80522fb7f3cb,Björk,Björk,Iceland,Iceland,trip-hop; rock; electronic; downtempo; soundtrack; synthpop; pop; ambient; 90s; jazz; dance; experimental; idm; a cappella; islande; islandais; iceland; icelandic; electronica; alternative; baroque pop; alternative pop; trip hop; 2000; 00s; rock and indie; 10s; progressive pop; multiple ipi; art pop; whimsically inclined,electronic; alternative; experimental; female vocalists; icelandic; trip-hop; seen live; electronica; indie; singer-songwriter; pop; bjork; ambient; Avant-Garde; rock; iceland; chillout; female vocalist; trip hop; female; alternative rock; 90s; jazz; dance; downtempo; art pop; psychedelic; scandinavian; electro; beautiful; idm; 00s; björk; folk; alternative dance; genius; indie pop; industrial; indie rock; favorites; atmospheric; vocal; ethereal; quirky; Love; avantgarde; alternative pop; sexy; female vocals; Experimental Rock,2192935,113183032,FALSE
382f1005-e9ab-4684-afd4-0bdae4ee37f2,2Pac,2Pac,United States,United States,american; hip-hop; hip hop; gangsta rap; west coast hip-hop; pop rap; g-funk; hip hop rnb and dance hall; west coast hip hop; above the rim; death by murder; death by gun; 2 pac; conscious hip hop; political hip hop; temor a la muerte; unil the end of time,rap; Hip-Hop; Gangsta Rap; West Coast Rap; hip hop; 2pac; west coast; gangsta; 90s; hiphop; legend; american; tupac; G-funk; California; 2 Pac; makaveli; thug life; RIP; death row; west coast hip-hop; old school; hardcore rap; USA; rnb; westcoast; tupac shakur; political; Westside; rock; soul; male vocalists; west coast hip hop; classic; Real hip-hop; pac; alternative; los angeles; poet; good rap; outlawz,2190778,56493035,FALSE
